Title,Rank,Year,Rating,Runtime,Genre,Certificate,Metascore,Votes,Description
Shooting Stars,59,2023,6.5,116,"Biography, Drama, History",PG-13,62,"1,959",A look at the young life of basketball star LeBron James. Feature film adaptation of LeBron James and Buzz Bissinger's book 'Shooting Stars'.
No Hard Feelings,60,2023,6.4,103,"Comedy, Romance",R,59,"121,940","On the brink of losing her home, Maddie finds an intriguing job listing: helicopter parents looking for someone to bring their introverted 19-year-old son out of his shell before college. She has one summer to make him a man or die trying."
Fair Play,61,2023,6.4,113,"Drama, Mystery, Thriller",R,73,"30,906","An unexpected promotion at a cutthroat hedge fund pushes a young couple's relationship to the brink, threatening to unravel far more than their recent engagement."
Renfield,62,2023,6.4,93,"Comedy, Fantasy, Horror",R,53,"85,445","Renfield, Dracula's henchman and inmate at the lunatic asylum for decades, longs for a life away from the Count, his various demands, and all of the bloodshed that comes with them."
M3GAN,63,2022,6.4,102,"Horror, Sci-Fi, Thriller",PG-13,72,"134,620",A robotics engineer at a toy company builds a life-like doll that begins to take on a life of its own.
Luther: The Fallen Sun,64,2023,6.4,129,"Crime, Drama, Mystery",R,53,"61,004",Brilliant but disgraced detective John Luther breaks out of prison to hunt down a sadistic serial killer who is terrorising London.
No One Will Save You,65,2023,6.3,93,"Horror, Sci-Fi, Thriller",PG-13,60,"56,747",An exiled anxiety-ridden homebody must battle an alien who's found its way into her home.
Operation Fortune: Ruse de Guerre,66,2023,6.3,114,"Action, Comedy, Thriller",R,51,"78,326",Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.
What's Love Got to Do with It?,67,2022,6.3,108,"Comedy, Romance",PG-13,59,"8,844","In London, an award-winning film-maker documents her best friend's journey into an assisted marriage in line with his family's Pakistani heritage. In the process, she challenges her own attitude towards relationships."
Old Dads,68,2023,6.2,104,Comedy,R,42,"34,385","Three best friends become fathers later in life and find themselves battling preschool principals, millennial CEOs, and anything created after 1987."
The Year Between,69,2022,6.2,94,"Comedy, Drama",-1,61,598,Clemence returns home after dropping out of college with a newly diagnosed mental illness.
Ant-Man and the Wasp: Quantumania,70,2023,6.1,124,"Action, Adventure, Comedy",PG-13,48,"216,636","Scott Lang and Hope Van Dyne are dragged into the Quantum Realm, along with Hope's parents and Scott's daughter Cassie. Together they must find a way to escape, but what secrets is Hope's mother hiding? And who is the mysterious Kang?"
Knock at the Cabin,71,2023,6.1,100,"Horror, Mystery, Thriller",R,63,"108,300","While vacationing, a girl and her parents are taken hostage by armed strangers who demand that the family make a choice to avert the apocalypse."
Haunted Mansion,72,2023,6.1,123,"Comedy, Drama, Family",PG-13,47,"38,736","A single mom named Gabbie hires a tour guide, a psychic, a priest and a historian to help exorcise her newly bought mansion after discovering it is inhabited by ghosts."
We Have a Ghost,73,2023,6.1,126,"Adventure, Comedy, Drama",PG-13,53,"31,492","Finding a ghost named Ernest haunting their new home turns Kevin's family into overnight social media sensations. But when Kevin and Ernest investigate the mystery of Ernest's past, they become a target of the CIA."
Shazam! Fury of the Gods,74,2023,6,130,"Action, Adventure, Comedy",PG-13,47,"117,387","The film continues the story of teenage Billy Batson who, upon reciting the magic word ""SHAZAM!"" is transformed into his adult Super Hero alter ego, Shazam."
Blue Beetle,75,2023,6,127,"Action, Adventure, Sci-Fi",PG-13,61,"80,684","An alien scarab chooses Jaime Reyes to be its symbiotic host, bestowing the recent college graduate with a suit of armor that's capable of extraordinary powers, forever changing his destiny as he becomes the superhero known as Blue Beetle."
Transformers: Rise of the Beasts,76,2023,6,127,"Action, Adventure, Sci-Fi",PG-13,42,"93,264","During the '90s, a new faction of Transformers - the Maximals - join the Autobots as allies in the battle for Earth."
Cocaine Bear,77,2023,5.9,95,"Comedy, Thriller",R,54,"101,208","An oddball group of cops, criminals, tourists and teens converge on a Georgia forest where a huge black bear goes on a murderous rampage after unintentionally ingesting cocaine."
Fingernails,78,2023,5.9,113,"Drama, Romance, Sci-Fi",R,63,"6,259","Anna and Ryan have found true love, and it's proven by a controversial new technology. There's just one problem, as Anna still isn't sure. Then she takes a position at a love testing institute and meets Amir."
The Boogeyman,79,I) (2023,5.9,98,"Horror, Mystery, Thriller",PG-13,55,"40,195","Still reeling from the tragic death of their mother, a teenage girl and her younger sister find themselves plagued by a sadistic presence in their house and struggle to get their grieving father to pay attention before it's too late."
The Marvels,80,2023,5.8,105,"Action, Adventure, Fantasy",PG-13,50,"66,199","Carol Danvers gets her powers entangled with those of Kamala Khan and Monica Rambeau, forcing them to work together to save the universe."
Ghosted,81,I) (2023,5.8,116,"Action, Adventure, Comedy",PG-13,34,"57,152","Cole falls head over heels for enigmatic Sadie, but then makes the shocking discovery that she's a secret agent. Before they can decide on a second date, Cole and Sadie are swept away on an international adventure to save the world."
The Other Zoey,82,2023,5.8,91,"Comedy, Drama, Romance",PG-13,-1,"5,795","Zoey Miller, a super smart computer nerd who is uninterested in romantic love, has her life turned upside down when Zack, the school's soccer star, gets amnesia and mistakes Zoey for his girlfriend."
Rebel Moon - Part One: A Child of Fire,83,2023,5.7,133,"Action, Adventure, Drama",PG-13,32,"55,875","When a peaceful settlement on the edge of a distant moon finds itself threatened by the armies of a tyrannical ruling force, a mysterious stranger living among its villagers becomes their best hope for survival."
Murder Mystery 2,84,2023,5.7,90,"Action, Comedy, Crime",PG-13,44,"64,689",Full-time detectives Nick and Audrey are struggling to get their private eye agency off the ground. They find themselves at the center of international abduction when their friend Maharaja is kidnapped at his own lavish wedding.
Somebody I Used to Know,85,2023,5.7,106,"Comedy, Romance",R,57,"7,761","On a trip to her hometown, workaholic Ally reminisces with her ex Sean and starts to question everything about the person she's become. Things only get more confusing when she meets Cassidy, who reminds her of the person she used to be."
Your Place or Mine,86,2023,5.7,109,"Comedy, Romance",PG-13,49,"37,107",Two long-distance best friends change each other's lives when she decides to pursue a lifelong dream and he volunteers to keep an eye on her teenage son.
The Mother,87,2023,5.6,115,"Action, Thriller",R,45,"44,615","While fleeing from dangerous assailants, an assassin comes out of hiding to protect the daughter she left earlier in life."
Five Nights at Freddy's,88,2023,5.5,109,"Horror, Mystery, Thriller",PG-13,33,"79,947","A troubled security guard begins working at Freddy Fazbear's Pizza. During his first night on the job, he realizes that the night shift won't be so easy to get through. Pretty soon he will unveil what actually happened at Freddy's."
Inside,89,I) (2023,5.5,105,"Drama, Thriller",R,53,"14,691","Nemo, a high-end art thief, is trapped in a New York penthouse after his heist doesn't go as planned. Locked inside with nothing but priceless works of art, he must use all his cunning and ingenuity to survive."
Silent Night,90,2023,5.4,104,"Action, Thriller",R,53,"10,837",A grieving father enacts his long-awaited revenge against a ruthless gang on Christmas Eve.
Freelance,91,2023,5.4,108,"Action, Comedy",R,23,"7,659","An ex-special forces operative takes a job to provide security for a journalist as she interviews a dictator, but when a military coup breaks out in the middle of the interview, they are forced to escape into the jungle."
65,92,2023,5.4,93,"Action, Adventure, Drama",PG-13,40,"82,244",An astronaut crash lands on a mysterious planet only to discover he's not alone.
The Out-Laws,93,2023,5.4,95,"Action, Comedy, Crime",R,36,"33,162","A straight-laced bank manager about to marry the love of his life. When his bank is held up by infamous Ghost Bandits during his wedding week, he believes his future in-laws who just arrived in town, are the infamous Out-Laws."
Best. Christmas. Ever!,94,2023,4.4,82,"Comedy, Romance",TV-PG,34,"8,945",Friendships are put to the ultimate test over a boastful holiday newsletter.
Peter Pan & Wendy,95,2023,4.4,106,"Action, Adventure, Comedy",PG,61,"27,041","Follow the adventures of Peter Pan, a boy who does not want to grow up, and how he recruits three siblings in London, and together they embark on a magical adventure on the enchanted island of Neverland."
