internal_id,id,title,overview,popularity,vote_average,vote_count,release_date
10,290098,The Handmaiden,"In 1930s Korea, a swindler and a young woman pose as a Japanese count and a handmaiden to seduce a Japanese heiress and steal her fortune.",77.074,8.2,3383,2016-06-01
11,626332,Flamin' Hot,"The inspiring true story of Richard Montañez, the Frito Lay janitor who channeled his Mexican American heritage and upbringing to turn the iconic Flamin’ Hot Cheetos into a snack that disrupted the food industry and became a global pop culture phenomenon.",50.588,8.237,443,2023-03-11
12,5156,Bicycle Thieves,"Unemployed Antonio is elated when he finally finds work hanging posters around war-torn Rome. However on his first day, his bicycle—essential to his work—gets stolen. His job is doomed unless he can find the thief. With the help of his son, Antonio combs the city, becoming desperate for justice.",25.476,8.209,2190,1948-11-24
13,522924,The Art of Racing in the Rain,"A family dog – with a near-human soul and a philosopher's mind – evaluates his life through the lessons learned by his human owner, a race-car driver.",49.283,8.208,1355,2019-08-08
14,1398,Stalker,"Near a gray and unnamed city is the Zone, a place guarded by barbed wire and soldiers, and where the normal laws of physics are victim to frequent anomalies. A stalker guides two men into the Zone, specifically to an area in which deep-seated desires are granted.",27.595,8.176,1923,1979-05-25
15,68718,Django Unchained,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",78.178,8.174,25012,2012-12-25
16,103,Taxi Driver,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,63.747,8.155,11359,1976-02-09
17,348,Alien,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",90.529,8.152,13468,1979-05-25
18,500,Reservoir Dogs,"A botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White, newcomer Mr. Orange, psychopathic parolee Mr. Blonde, bickering weasel Mr. Pink and Nice Guy Eddie -- unravel.",51.456,8.13,13488,1992-09-02
19,872585,Oppenheimer,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,784.774,8.126,5635,2023-07-19
20,472454,Ayla: The Daughter of War,"In 1950, amidst the ravages of the Korean War, Sergeant Süleyman stumbles upon a a half-frozen little girl, with no parents and no help in sight and he risks his own life to save her, smuggling her into his army base and out of harm’s way.",10.762,8.103,336,2017-10-27
21,149871,The Tale of The Princess Kaguya,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthrals all who encounter her. But, ultimately, she must confront her fate.",24.067,8.103,1607,2013-11-23
22,10681,WALL·E,"What if mankind had to leave Earth and somebody forgot to turn the last robot off? After hundreds of years doing what he was built for, WALL•E discovers a new purpose in life when he meets a sleek search robot named EVE. EVE comes to realize that WALL•E has inadvertently stumbled upon the key to the planet's future, and races back to space to report to the humans. Meanwhile, WALL•E chases EVE across the galaxy and sets into motion one of the most imaginative adventures ever brought to the big screen.",86.834,8.081,17693,2008-06-22
23,387,Das Boot,"A German submarine hunts allied ships during the Second World War, but it soon becomes the hunted. The crew tries to survive below the surface, while stretching both the boat and themselves to their limits.",35.547,8.081,2030,1981-09-17
24,26022,My Name Is Khan,"Rizwan Khan, a Muslim from the Borivali section of Mumbai, has Asperger's syndrome. He marries a Hindu single mother, Mandira, in San Francisco. After 9/11, Rizwan is detained by authorities at LAX who treat him as a terrorist because of his condition and his race.",27.517,8.053,1219,2010-02-10
25,11659,The Best of Youth,"After a fateful encounter in the summer of 1966, the lives of two brothers from a middle-class family take different directions, crossing some of the most significant events of postwar Italian history in the following decades.",20.25,8.053,485,2003-06-22
26,204,The Wages of Fear,"In a run-down South American town, four men are paid to drive trucks loaded with nitroglycerin into the jungle through to the oil field. Friendships are tested and rivalries develop as they embark upon the perilous journey.",17.205,8.031,828,1953-04-22
27,264644,Room,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",31.954,8.029,8771,2015-10-16
28,429210,Bingo: The King of the Mornings,"1980s. Brazilian television exploding in color and auditorium programs not so politically correct. In the middle of this fervor, Augusto Mendes, a young rising actor, seeks his place in the sun. From porn studios to soap operas, he finally finds success and fame when he becomes ""Bingo"", a TV host clown from one of the audience leader TV shows for children. It turns out that behind the rice powder and red nose, nobody knows who he is.",7.768,8.011,356,2017-08-24
29,28178,Hachi: A Dog's Tale,A drama based on the true story of a college professor's bond with the abandoned dog he takes into his home.,70.57,8.01,6315,2009-06-08
30,20453,3 Idiots,"Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the school’s uptight and heartless dean. But when Rancho catches the eye of the dean's daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all.",32.931,7.993,2201,2009-12-23
31,530915,1917,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.",51.854,7.992,11573,2019-12-25
32,15383,Army of Shadows,"Betrayed by an informant, Philippe Gerbier finds himself trapped in a torturous Nazi prison camp. Though Gerbier escapes to rejoin the Resistance in occupied Marseilles, France, and exacts his revenge on the informant, he must continue a quiet, seemingly endless battle against the Nazis in an atmosphere of tension, paranoia and distrust.",16.403,8.0,574,1969-09-10
33,14696,Ugetsu,"In 16th century Japan, peasants Genjuro and Tobei sell their earthenware pots to a group of soldiers in a nearby village, in defiance of a local sage's warning against seeking to profit from warfare. Genjuro's pursuit of both riches and the mysterious Lady Wakasa, as well as Tobei's desire to become a samurai, run the risk of destroying both themselves and their wives, Miyagi and Ohama.",18.19,7.972,515,1953-03-26
34,920394,My Father's Violin,"Through their shared grief and connection to music, an orphaned girl bonds with her emotionally aloof, successful violinist uncle.",13.399,8.0,315,2022-01-21
35,14160,Up,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",113.718,7.954,19137,2009-05-28
36,158445,Miracle in Cell No. 7,A story about a mentally ill man wrongfully imprisoned for murder and his relationship with his 6 year old daughter.,15.231,7.9,395,2013-01-23
37,41050,La Notte,A day in the life of an unfaithful married couple and their steadily deteriorating relationship in Milan.,16.229,7.941,610,1961-01-24
38,31411,The Cameraman,A photographer takes up newsreel shooting to impress a secretary.,13.715,7.929,323,1928-09-10
39,3777,Throne of Blood,"Returning to their lord's castle, samurai warriors Washizu and Miki are waylaid by a spirit who predicts their futures. When the first part of the spirit's prophecy comes true, Washizu's scheming wife, Asaji, presses him to speed up the rest of the spirit's prophecy by murdering his lord and usurping his place. Director Akira Kurosawa's resetting of William Shakespeare's ""Macbeth"" in feudal Japan is one of his most acclaimed films.",21.351,7.9,750,1957-01-15
40,829,Chinatown,"Private eye Jake Gittes lives off of the murky moral climate of sunbaked, pre-World War II Southern California. Hired by a beautiful socialite to investigate her husband's extra-marital affair, Gittes is swept into a maelstrom of double dealings and deadly deceits, uncovering a web of personal and political scandals that come crashing together.",54.382,7.915,3509,1974-06-20
41,785084,The Whale,A reclusive English teacher suffering from severe obesity attempts to reconnect with his estranged teenage daughter for one last chance at redemption.,83.098,7.913,3202,2022-12-09
42,194,Amélie,"At a tiny Parisian café, the adorable yet painfully shy Amélie accidentally discovers a gift for helping others. Soon Amelie is spending her days as a matchmaker, guardian angel, and all-around do-gooder. But when she bumps into a handsome stranger, will she find the courage to become the star of her very own love story?",38.033,7.906,10891,2001-04-25
43,17295,The Battle of Algiers,Tracing the struggle of the Algerian Front de Liberation Nationale to gain freedom from French colonial rule as seen through the eyes of Ali from his start as a petty thief to his rise to prominence in the organisation and capture by the French in 1957. The film traces the rebels' struggle and the increasingly extreme measures taken by the French government to quell the revolt.,12.051,7.905,674,1966-09-08
44,503314,Dragon Ball Super: Broly,"Earth is peaceful following the Tournament of Power. Realizing that the universes still hold many more strong people yet to see, Goku spends all his days training to reach even greater heights. Then one day, Goku and Vegeta are faced by a Saiyan called 'Broly' who they've never seen before. The Saiyans were supposed to have been almost completely wiped out in the destruction of Planet Vegeta, so what's this one doing on Earth? This encounter between the three Saiyans who have followed completely different destinies turns into a stupendous battle, with even Frieza (back from Hell) getting caught up in the mix.",15.475,7.889,2755,2018-12-14
45,198,To Be or Not to Be,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",19.311,7.887,639,1942-03-05
46,652722,In the Arms of an Assassin,"Victor (William Levy) is one of the world’s most handsome  men, but he has a deep secret – he is a cold blooded assassin. Smooth talking and seductive, Victor was raised to do one thing only, which is to kill for money. When he is sent to the home of a brutal drug lord to collect payment for his most recent hit, he encounters the beautiful Sarai (Alicia Sanz), who has been forced to spend the last 9 years of her life with the drug lord.",19.458,7.874,384,2019-12-06
47,369557,Sing Street,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,23.414,7.874,2143,2016-03-11
48,24167,Two Women,"Widowed shopkeeper Cesira and her 13-year-old daughter Rosetta flee from the allied bombs in Rome during the second World War; they travel to the remote village where Cesira was born. During their journey and in the village and onward, the mother does everything she can to protect Rosetta. Meanwhile, a sensitive young intellectual, Michele, falls in love with Cesira.",18.034,7.863,488,1960-12-22
49,11830,Tampopo,"In this humorous paean to the joys of food, a pair of truck drivers happen onto a decrepit roadside shop selling ramen noodles. The widowed owner, Tampopo, begs them to help her turn her establishment into a paragon of the ""art of noodle-soup making"". Interspersed are satirical vignettes about the importance of food to different aspects of human life.",17.004,7.863,306,1985-11-23
50,579245,The Specials,"For twenty years, Bruno and Malik have lived in a different world—the world of autistic children and teens. In charge of two separate nonprofit organizations (The Hatch & The Shelter), they train young people from underprivileged areas to be caregivers for extreme cases that have been refused by all other institutions. It’s an exceptional partnership, outside of traditional settings, for some quite extraordinary characters.",16.555,7.849,841,2019-10-23
51,16804,Departures,"Daigo, a cellist, is laid off from his orchestra and moves with his wife back to his small hometown where the living is cheaper. Thinking he’s applying for a job at a travel agency he finds he’s being interviewed for work with departures of a more permanent nature – as an undertaker’s assistant.",16.765,7.848,760,2008-09-13
52,301,Rio Bravo,"The sheriff of a small town in southwest Texas must keep custody of a murderer whose brother, a powerful rancher, is trying to help him escape. After a friend is killed trying to muster support for him, he and his deputies must find a way to hold out against the rancher's hired guns until the marshal arrives. In the meantime, matters are complicated by the presence of a young gunslinger - and a mysterious beauty who just came in on the last stagecoach.",45.678,7.8,1040,1959-03-18
53,938008,The Killer,"When retired hitman’s wife goes on vacation with her friend, she asks him to look after the friend's teenage daughter. Things go awry when he is forced to use a little violence to protect the girl from juvenile delinquents, but then they are found dead and the girl is kidnapped.",44.884,7.837,306,2022-07-13
54,22596,Safety Last!,"When a store clerk organizes a contest to climb the outside of a tall building, circumstances force him to make the perilous climb himself.",12.632,7.824,451,1923-04-01
55,12,Finding Nemo,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",104.115,7.824,18295,2003-05-30
56,545611,Everything Everywhere All at Once,"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what's important to her by connecting with the lives she could have led in other universes.",95.72,7.813,5512,2022-03-24
57,335578,Land of Mine,"In the days following the surrender of Germany in May 1945, a group of young German prisoners of war is handed over to the Danish authorities and subsequently sent to the West Coast, where they are ordered to remove the more than two million mines that the Germans had placed in the sand along the coast. With their bare hands, crawling around in the sand, the boys are forced to perform the dangerous work under the leadership of a Danish sergeant.",16.704,7.813,1304,2015-12-03
58,25606,White Collar Blues,"A good-natured but unlucky Italian is constantly going on a difficult situations, but never lose his mood.",12.189,7.8,787,1975-03-27
59,502,Fail Safe,Because of a technical defect an American bomber team mistakenly orders the destruction of Moscow. The President of the United States has but little time to prevent an atomic catastrophe from occurring.,20.506,7.8,342,1964-10-07
60,52345,Lisbela and the Prisoner,"Lisbela is a young woman who loves going to the movies. Leléu is a con man, going from town to town selling all sort of things and performing as master of ceremonies for some cheesy numbers, such as the woman who gets transformed into a gorilla. He gets involved with Linaura, a sexy and beautiful woman who happens to be the wife of the most frightening hitman of the place. The hitman finds out his wife's affair and goes after Leléu, who has to leave in a hurry. In another town, he meets and falls instantly in love with Lisbela, who is engaged to Douglas, a hillbilly who tries hard to pass for a cosmopolitan Rio de Janeiro dweller.",1.742,7.789,363,2003-08-22
61,776305,Belle,"Suzu is a 17-year-old high-school student living in a rural town with her father. Wounded by the loss of her mother at a young age, Suzu one day discovers the massive online world ""U"" and dives into this alternate reality as her avatar, Belle. Before long, all of U's eyes are fixed on Belle, when, suddenly, a mysterious, dragon-like figure appears before her.",41.14,7.8,652,2021-07-16
62,49026,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",74.96,7.777,21623,2012-07-17
63,144,Wings of Desire,"Two angels, Damiel and Cassiel, glide through the streets of Berlin, observing the bustling population, providing invisible rays of hope to the distressed but never interacting with them. When Damiel falls in love with lonely trapeze artist Marion, the angel longs to experience life in the physical world, and finds -- with some words of wisdom from actor Peter Falk -- that it might be possible for him to take human form.",27.53,7.777,1178,1987-05-17
64,12444,Harry Potter and the Deathly Hallows: Part 1,"Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.",158.006,7.761,18051,2010-11-17
65,925,Do the Right Thing,"Salvatore ""Sal"" Fragione is the Italian owner of a pizzeria in Brooklyn. A neighborhood local, Buggin' Out, becomes upset when he sees that the pizzeria's Wall of Fame exhibits only Italian actors. Buggin' Out believes a pizzeria in a black neighborhood should showcase black actors, but Sal disagrees. The wall becomes a symbol of racism and hate to Buggin' Out and to other people in the neighborhood, and tensions rise.",39.561,7.762,1603,1989-06-14
66,744114,My Policeman,"In the late 1990s, the arrival of elderly invalid Patrick into Marion and Tom’s home triggers the exploration of seismic events from 40 years previous: the passionate relationship between Tom and Patrick at a time when homosexuality was illegal.",24.557,7.8,602,2022-10-20
67,2108,The Breakfast Club,"Five high school students from different walks of life endure a Saturday detention under a power-hungry principal. The disparate group includes rebel John, princess Claire, outcast Allison, brainy Brian and Andrew, the jock. Each has a chance to tell his or her story, making the others see them a little differently -- and when the day ends, they question whether school will ever be the same.",34.993,7.752,7580,1985-02-15
68,374473,"I, Daniel Blake","A middle aged carpenter, who requires state welfare after injuring himself, is joined by a single mother in a similar scenario.",13.025,7.743,1292,2016-10-21
69,22504,The King and the Mockingbird,"The kingdom of Takicardie quakes under the rule of the tyrannical King Charles V-et-III-font-VIII-et-VIII-font-XVI, whose favourite pastime is shooting birds. His archenemy is a cheeky mockingbird, whose favourite pastime is thwarting the king’s attempts to shoot birds. One night, a portrait of the king comes to life and disposes of the real king, taking his place. The portrait king falls in love with a young shepherdess in another painting and intends to marry her. But, alas, the shepherdess has fallen in love with a chimneysweep and together they elope from the king’s palace. Enraged, the king sends his police to capture them and once they are within his power he forces the shepherdess to marry him. The mockingbird must use all his guile and courage to once more thwart the king and bring his evil reign to an end.",9.901,7.743,345,1980-03-19
70,24657,The Sacrifice,"Alexander, a journalist, philosopher and retired actor, celebrates a birthday with friends and family when it is announced that nuclear war has begun.",14.886,7.733,479,1986-05-09
71,10020,Beauty and the Beast,"Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within.",97.44,7.733,9394,1991-10-22
72,502356,The Super Mario Bros. Movie,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",458.849,7.722,7542,2023-04-05
73,205,Hotel Rwanda,"Inspired by true events, this film takes place in Rwanda in the 1990s when more than a million Tutsis were killed in a genocide that went mostly unnoticed by the rest of the world. Hotel owner Paul Rusesabagina houses over a thousand refuges in his hotel in attempt to save their lives.",24.67,7.722,2668,2004-12-22
74,5528,The Chorus,"Set in 1940s France, a new teacher at a school for disruptive boys gives hope and inspiration.",20.067,7.714,2259,2004-03-17
75,801335,Girl in the Basement,"Sara is a teen girl who is looking forward to her 18th birthday to move away from her controlling father Don. But before she could even blow out the candles, Don imprisons her in the basement of their home.",65.933,7.713,598,2021-02-27
76,688,The Bridges of Madison County,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,28.383,7.701,1981,1995-06-02
77,137182,The Broken Circle Breakdown,The loss of their young daughter threatens to destroy the love and faith of two married musicians.,10.921,7.701,994,2012-10-09
78,575452,The Traitor,"Palermo, Sicily, 1980. Mafia member Tommaso Buscetta decides to move to Brazil with his family fleeing the constant war between the different clans of the criminal organization. But when, after living several misfortunes, he is forced to return to Italy, he makes a bold decision that will change his life and the destiny of Cosa Nostra forever.",12.623,7.691,1263,2019-05-23
79,4808,Charade,"After Regina Lampert falls for the dashing Peter Joshua on a skiing holiday in the French Alps, she discovers upon her return to Paris that her husband has been murdered. Soon, she and Peter are giving chase to three of her late husband's World War II cronies, Tex, Scobie and Gideon, who are after a quarter of a million dollars the quartet stole while behind enemy lines. But why does Peter keep changing his name?",27.379,7.691,1264,1963-12-05
80,446159,Bacurau,"Bacurau, a small town in the Brazilian sertão, mourns the loss of its matriarch, Carmelita, who lived to be 94. Days later, its inhabitants notice that their community has vanished from most maps.",14.632,7.683,988,2019-08-29
81,286217,The Martian,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.",65.353,7.683,18745,2015-09-30
82,247,The Killing,"Career criminal Johnny Clay recruits a sharpshooter, a crooked police officer, a bartender and a betting teller named George, among others, for one last job before he goes straight and gets married. But when George tells his restless wife about the scheme to steal millions from the racetrack where he works, she hatches a plot of her own.",23.039,7.7,1390,1956-06-06
83,108,Three Colors: Blue,"The wife of a famous composer survives a car accident that kills her husband and daughter. Now alone, she shakes off her old identity and explores her newfound freedom but finds that she is unbreakably bound to other humans, including her husband’s mistress, whose existence she never suspected.",22.859,7.7,1536,1993-09-08
84,11787,Harvey,"The story of Elwood P. Dowd who makes friends with a spirit taking the form of a human-sized rabbit named Harvey that only he sees (and a few privileged others on occasion also.) After his sister tries to commit him to a mental institution, a comedy of errors ensues. Elwood and Harvey become the catalysts for a family mending its wounds and for romance blossoming in unexpected places.",18.421,7.661,553,1950-12-04
85,8358,Cast Away,"Chuck Nolan, a top international manager for FedEx, and Kelly, a Ph.D. student, are in love and heading towards marriage. Then Chuck's plane to Malaysia crashes at sea during a terrible storm. He's the only survivor, and finds himself marooned on a desolate island. With no way to escape, Chuck must find ways to survive in his new home.",62.434,7.661,10697,2000-12-22
86,13002,Barbie in The 12 Dancing Princesses,"King Randolph sends for his cousin, Duchess Rowena, to help turn his daughters, Princess Genevieve and her eleven sisters, into royal material. But the Duchess strips the sisters of their fun, including their favorite pastime: dancing. When all hope may be lost, the sisters discover a secret passageway to a magical land where they can dance the night away.",53.171,7.651,1078,2006-09-19
87,99,All About My Mother,"Following the tragic death of her teenage son, Manuela travels from Madrid to Barcelona in an attempt to contact the long-estranged father the boy never knew. She reunites with an old friend, an outspoken transgender sex worker, and befriends a troubled actress and a pregnant, HIV-positive nun.",17.456,7.651,1746,1999-04-16
88,320007,Victoria,A young Spanish woman who has newly moved to Berlin finds her flirtation with a local guy turn potentially deadly as their night out with his friends reveals a dangerous secret.,16.937,7.6,1126,2015-06-11
89,221731,Rurouni Kenshin Part II: Kyoto Inferno,"Kenshin has settled into his new life with Kaoru and his other friends when he is approached with a request from the Meiji government. Makoto Shishio, a former assassin like Kenshin, was betrayed, set on fire and left for dead. He survived, and is now in Kyoto, plotting with his gathered warriors to overthrow the new government. Against Kaoru's wishes, Kenshin reluctantly agrees to go to Kyoto and help keep his country from falling back into civil war.",26.697,7.642,521,2014-08-01
90,1939,Laura,A police detective falls in love with the woman whose murder he's investigating.,24.455,7.631,724,1944-10-11
91,20992,Brother,"Danila goes to his successful brother, Victor, in Petersburg to start a new life. Unknown to Danila, Victor is a contract killer, but is in hiding after asking for too much money to assassinate a Chechen mob boss. To avoid exposure, Victor convinces Danila to kill the boss instead.",13.595,7.63,361,1997-12-12
92,283995,Guardians of the Galaxy Vol. 2,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.,101.565,7.622,20596,2017-04-19
93,14813,Mickey's Christmas Carol,"Ebenezer Scrooge is far too greedy to understand that Christmas is a time for kindness and generosity. But with the guidance of some new found friends, Scrooge learns to embrace the spirit of the season. A retelling of the classic Dickens tale with Disney's classic characters.",48.496,7.6,832,1983-10-19
94,517093,Balkan Line,"After the NATO bombing of Yugoslavia in 1999, the Yugoslav army pulls out of Kosovo region, leaving Serbian people at the mercy of the Albanian UCK. A small band of soldiers must take over the Slatina airport, and hold it until the Russian peacekeepers arrive.",63.226,7.612,424,2019-03-21
95,11321,Seven Pounds,An IRS agent with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.,42.808,7.612,6432,2008-12-18
96,599521,Z-O-M-B-I-E-S 2,"Zed and Addison are back at Seabrook High, where, after a groundbreaking semester, they continue to steer both their school and community toward unity. But the arrival of a new group of outsiders – mysterious werewolves – threatens to shake up the newfound peace and causes a rift in Zed and Addison’s budding romance.",24.079,7.6,412,2020-06-13
97,38757,Tangled,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",121.02,7.602,10717,2010-11-24
98,21191,Sin Nombre,"Sayra, a Honduran teen, hungers for a better life. Her chance for one comes when she is reunited with her long-estranged father, who intends to emigrate to Mexico and then enter the United States. Sayra's life collides with a pair of Mexican gangmembers who have boarded the same American-bound train.",21.442,7.596,633,2009-03-20
99,9289,The Longest Day,"The retelling of June 6, 1944, from the perspectives of the Germans, US, British, Canadians, and the Free French. Marshall Erwin Rommel, touring the defenses being established as part of the Reich's Atlantic Wall, notes to his officers that when the Allied invasion comes they must be stopped on the beach. ""For the Allies as well as the Germans, it will be the longest day""",28.024,7.6,860,1962-09-25
100,26371,Maurice,"After his lover rejects him, a young man in early 20th century England, trapped by the oppressiveness of Edwardian society, tries to come to terms with and accept his sexuality.",21.017,7.589,479,1987-09-18
101,8703,Three Wishes for Cinderella,"Popelka, a resourceful and independent young girl, is a servant in her stepmother's house and confides in her closest friend the owl. When she comes across three magical acorns, she's granted a single wish for each one of them.",44.837,7.6,305,1973-11-16
102,776,The Rules of the Game,A weekend at a marquis’ country château lays bare some ugly truths about a group of haut bourgeois acquaintances.,13.666,7.581,525,1939-07-09
103,638,Lost Highway,"A tormented jazz musician finds himself lost in an enigmatic story involving murder, surveillance, gangsters, doppelgängers, and an impossible transformation inside a prison cell.",31.889,7.58,2398,1997-01-15
104,433,Mary Poppins,"Mr Banks is looking for a nanny for his two mischievous children and comes across Mary Poppins, an angelic nanny. She not only brings a change in their lives but also spreads happiness.",53.544,7.573,4405,1964-12-17
105,10950,I Am Sam,"Sam, a neurodivergent man, has a daughter with a homeless woman who abandons them when they leave the hospital, leaving Sam to raise Lucy on his own. But as Lucy grows up, Sam's limitations as a parent start to become a problem and the authorities take her away. Sam convinces high-priced lawyer Rita to take his case pro bono and in turn teaches her the value of love and family.",34.509,7.572,2143,2001-12-28
106,7214,Coach Carter,"Based on a true story, in which Richmond High School head basketball coach Ken Carter made headlines in 1999 for benching his undefeated team due to poor academic results.",42.081,7.563,2693,2005-01-14
107,466420,Killers of the Flower Moon,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one—until the FBI steps in to unravel the mystery.",739.007,7.559,1602,2023-10-18
108,11686,Love and Death,"In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon.",21.948,7.6,799,1975-06-10
109,484468,The Wolf's Call,"With nuclear war looming, a military expert in underwater acoustics strives to prove things aren't as they seem—or sound—using only his ears.",31.647,7.555,1850,2019-02-20
